GeneID	Symbol	Description	log2(fold change)(SkinLesion-PsA vs HealthySkin)	-log10(Pvalue)(SkinLesion-PsA vs HealthySkin)
284366	KLK9	kallikrein related peptidase 9	3.418	57.251
5655	KLK10	kallikrein related peptidase 10	2.365	21.577
26085	KLK13	kallikrein related peptidase 13	3.618	42.139
107985341	LOC107985341		1.863	9.779
43847	KLK14	kallikrein related peptidase 14	1.38	3.316
27180	SIGLEC9	sialic acid binding Ig like lectin 9	1.329	3.524
402665	IGLON5	IgLON family member 5	1.979	7.438
147645	VSIG10L	V-set and immunoglobulin domain containing 10 like	1.297	8.469
4818	NKG7	natural killer cell granule protein 7	1.164	2.906
729975	LINC01530	long intergenic non-protein coding RNA 1530	-0.859	1.837
100049587	SIGLEC14	sialic acid binding Ig like lectin 14	1.615	3.504
147650	SPACA6	sperm acrosome associated 6	-1.235	7.607
3036	HAS1	hyaluronan synthase 1	-1.928	5.661
2357	FPR1	formyl peptide receptor 1	3.368	9.077
2359	FPR3	formyl peptide receptor 3	1.412	4.881
84765	ZNF577	zinc finger protein 577	-1.716	13.447
59348	ZNF350	zinc finger protein 350	-0.643	10.693
9668	ZNF432	zinc finger protein 432	-0.546	2.721
90321	ZNF766	zinc finger protein 766	-0.584	5.33
162963	ZNF610	zinc finger protein 610	-1.316	4.138
400713	ZNF880	zinc finger protein 880	-1.295	6.557
102724105	ZNF528-AS1	ZNF528 antisense RNA 1	-2.131	15.82
84436	ZNF528	zinc finger protein 528	-1.427	12.523
147660	ZNF578	zinc finger protein 578	-1.257	3.496
55762	ZNF701	zinc finger protein 701	-0.596	4.977
7696	ZNF137P	zinc finger protein 137, pseudogene	-1.091	3.618
55769	ZNF83	zinc finger protein 83	-1.454	17.593
162966	ZNF600	zinc finger protein 600	-0.77	4.955
162967	ZNF320	zinc finger protein 320	-0.759	4.178
100529240	ZNF816-ZNF321P	ZNF816-ZNF321P readthrough	-0.915	5.744
399669	ZNF321P	zinc finger protein 321, pseudogene	-0.962	5.218
125893	ZNF816	zinc finger protein 816	-0.588	2.94
55786	ZNF415	zinc finger protein 415	-1.647	9.483
84671	ZNF347	zinc finger protein 347	-0.678	5.734
79788	ZNF665	zinc finger protein 665	-1.813	16.751
390963	ZNF818P	zinc finger protein 818, pseudogene	-1.211	5.665
342926	ZNF677	zinc finger protein 677	-1.202	7.268
91663	MYADM	myeloid associated differentiation marker	-1.093	6.373
59283	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8	-1.789	4.785
147798	TMC4	transmembrane channel like 4	-1.047	2.44
6203	RPS9	ribosomal protein S9	-0.557	2.748
11025	LILRB3	leukocyte immunoglobulin like receptor B3	1.19	2.963
10288	LILRB2	leukocyte immunoglobulin like receptor B2	1.432	3.512
23547	LILRA4	leukocyte immunoglobulin like receptor A4	0.84	1.499
3903	LAIR1	leukocyte associated immunoglobulin like receptor 1	0.945	1.696
57348	TTYH1	tweety family member 1	-1.978	12.559
104355426	LENG8-AS1	LENG8 antisense RNA 1	-0.776	1.897
114823	LENG8	leukocyte receptor cluster member 8	-0.777	2.269
148170	CDC42EP5	CDC42 effector protein 5	1.49	9.088
10859	LILRB1	leukocyte immunoglobulin like receptor B1	1.777	5.561
11006	LILRB4	leukocyte immunoglobulin like receptor B4	1.505	2.563
199713	NLRP7	NLR family pyrin domain containing 7	3.569	11.475
55655	NLRP2	NLR family pyrin domain containing 2	3.218	6.699
107985325	GP6-AS1	GP6 antisense RNA 1	-0.541	1.48
51206	GP6	glycoprotein VI platelet	-1.133	1.489
54869	EPS8L1	EPS8 like 1	-0.523	1.822
7138	TNNT1	troponin T1, slow skeletal type	-1.643	4.414
7137	TNNI3	troponin I3, cardiac type	-0.886	1.787
352909	DNAAF3	dynein axonemal assembly factor 3	-1.307	6.663
101930593	DNAAF3-AS1	DNAAF3 antisense RNA 1	-2.339	15.319
6861	SYT5	synaptotagmin 5	1.906	4.896
5794	PTPRH	protein tyrosine phosphatase receptor type H	-1.028	2.266
22870	PPP6R1	protein phosphatase 6 regulatory subunit 1	0.805	10.969
23640	HSPBP1	HSPA (Hsp70) binding protein 1	0.591	5.238
84446	BRSK1	BR serine/threonine kinase 1	-0.856	2.847
84787	KMT5C	lysine methyltransferase 5C	-0.668	5.405
125965	COX6B2	cytochrome c oxidase subunit 6B2	-1.693	5.558
3589	IL11	interleukin 11	-0.584	1.388
27338	UBE2S	ubiquitin conjugating enzyme E2 S	1.358	5.658
284297	SSC5D	scavenger receptor cysteine rich family member with 5 domains	-1.236	4.586
29924	EPN1	epsin 1	0.609	12.455
100506374	EDDM13	epididymal protein 13	-1.177	4.779
147947	ZNF542P	zinc finger protein 542, pseudogene	-0.969	11.123
147948	ZNF582	zinc finger protein 582	-0.957	6.224
386758	ZNF582-DT	ZNF582 divergent transcript	-1.997	10.347
147949	ZNF583	zinc finger protein 583	-1.169	5.193
63934	ZNF667	zinc finger protein 667	-1.669	13.402
100128252	ZNF667-AS1	ZNF667 antisense RNA 1 (head to head)	-1.912	16.85
57573	ZNF471	zinc finger protein 471	-1.54	12.03
140612	ZFP28	ZFP28 zinc finger protein	-1.244	20.084
112268241	ZNF470-DT	ZNF470 divergent transcript	-1.496	5.073
5178	PEG3	paternally expressed 3	-1.509	8.887
105372476	ZNF460-AS1	ZNF460 antisense RNA 1	-1.36	3.99
57191	VN1R1	vomeronasal 1 receptor 1	-1.27	4.675
79744	ZNF419	zinc finger protein 419	-0.957	6.732
256051	ZNF549	zinc finger protein 549	-0.681	4.763
162972	ZNF550	zinc finger protein 550	-0.534	2.697
284307	ZIK1	zinc finger protein interacting with K protein 1	-1.003	5.008
10520	ZNF211	zinc finger protein 211	-0.629	3.671
201516	ZSCAN4	zinc finger and SCAN domain containing 4	-2.523	6.537
147686	ZNF418	zinc finger protein 418	-0.986	5.278
10172	ZNF256	zinc finger protein 256	-0.914	8.407
147685	C19orf18	chromosome 19 open reading frame 18	-1.709	6.54
80095	ZNF606	zinc finger protein 606	-0.808	5.869
100128398	LOC100128398	uncharacterized LOC100128398	-1.553	11.348
7694	ZNF135	zinc finger protein 135	-2.218	18.595
65982	ZSCAN18	zinc finger and SCAN domain containing 18	-2.129	38.896
10782	ZNF274	zinc finger protein 274	-0.656	7.006
1	A1BG	alpha-1-B glycoprotein	-0.517	1.422
6193	RPS5	ribosomal protein S5	-0.694	5.033
113218487	MIR10394	microRNA 10394	-0.694	5.524
646862	RNF225	ring finger protein 225	1.224	8.891
110806301	LINC02560	long intergenic non-protein coding RNA 2560	1.132	8.161
55663	ZNF446	zinc finger protein 446	-0.612	5.675
112268251	LOC112268251	uncharacterized LOC112268251	-0.706	2.558
10998	SLC27A5	solute carrier family 27 member 5	-1.375	12.298
7593	MZF1	myeloid zinc finger 1	-0.622	4.77
107987272	LOC107987272	uncharacterized LOC107987272	-1.027	5.745
140680	C20orf96	chromosome 20 open reading frame 96	-0.848	4.499
140809	SRXN1	sulfiredoxin 1	1.55	8.477
113278	SLC52A3	solute carrier family 52 member 3	2.102	13.789
51378	ANGPT4	angiopoietin 4	-0.953	2.402
55321	TMEM74B	transmembrane protein 74B	-1.623	9.779
100528031	FKBP1A-SDCBP2	FKBP1A-SDCBP2 readthrough (NMD candidate)	0.706	5.406
27111	SDCBP2	syndecan binding protein 2	0.78	4.707
10326	SIRPB1	signal regulatory protein beta 1	0.868	2.47
55423	SIRPG	signal regulatory protein gamma	1.944	6.62
107984104	LOC107984104		-1.005	3.759
140885	SIRPA	signal regulatory protein alpha	0.749	10.487
7053	TGM3	transglutaminase 3	1.948	16.574
343641	TGM6	transglutaminase 6	2.341	2.615
100302138	MIR1292	microRNA 1292	0.572	1.878
692201	SNORD86	small nucleolar RNA, C/D box 86	1.166	6.969
56265	CPXM1	carboxypeptidase X, M14 family member 1	1.559	2.947
100134015	UBOX5-AS1	UBOX5 antisense RNA 1	-0.532	1.539
60493	FASTKD5	FAST kinase domains 5	0.664	6.77
107985414	LOC107985414	uncharacterized LOC107985414	-1.448	3.416
83959	SLC4A11	solute carrier family 4 member 11	0.92	3.316
80332	ADAM33	ADAM metallopeptidase domain 33	-1.653	7.333
116835	HSPA12B	heat shock protein family A (Hsp70) member 12B	-0.818	4.99
994	CDC25B	cell division cycle 25B	1.595	14.491
55317	AP5S1	adaptor related protein complex 5 subunit sigma 1	0.602	8.121
54498	SMOX	spermine oxidase	1.688	14.933
9770	RASSF2	Ras association domain family member 2	0.797	4.277
9962	SLC23A2	solute carrier family 23 member 2	2.359	23.817
5111	PCNA	proliferating cell nuclear antigen	0.706	5.084
100302739	PCNA-AS1	PCNA antisense RNA 1	0.689	4.709
51605	TRMT6	tRNA methyltransferase 6 non-catalytic subunit	0.593	4.175
54675	CRLS1	cardiolipin synthase 1	-0.586	4.358
164312	LRRN4	leucine rich repeat neuronal 4	-1.293	7.066
55612	FERMT1	FERM domain containing kindlin 1	1.905	11.485
23236	PLCB1	phospholipase C beta 1	-0.707	2.736
5332	PLCB4	phospholipase C beta 4	-1.558	10.424
63926	ANKEF1	ankyrin repeat and EF-hand domain containing 1	1.183	9.603
101929395	LINC01752	long intergenic non-protein coding RNA 1752	-1.79	7.055
22903	BTBD3	BTB domain containing 3	0.61	4.176
140862	ISM1	isthmin 1	-1.377	8.819
105372539	LOC105372539		-1.435	4.988
79133	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	-0.69	5.971
140733	MACROD2	mono-ADP ribosylhydrolase 2	-2.002	23.086
6238	RRBP1	ribosome binding protein 1	0.79	5.669
58495	OVOL2	ovo like zinc finger 2	0.573	3.395
55184	DZANK1	double zinc ribbon and ankyrin repeat domains 1	-0.661	4.082
10483	SEC23B	SEC23 homolog B, COPII coat complex component	0.79	5.849
29075	LINC00652	long intergenic non-protein coding RNA 652	-2.064	7.462
100270804	LCDR	lysosome cell death regulator	-1.803	12.884
57419	SLC24A3	solute carrier family 24 member 3	0.947	8.638
54453	RIN2	Ras and Rab interactor 2	0.962	15.263
57186	RALGAPA2	Ral GTPase activating protein catalytic subunit alpha 2	0.817	9.867
22803	XRN2	5'-3' exoribonuclease 2	0.523	3.794
7056	THBD	thrombomodulin	0.704	3.289
22918	CD93	CD93 molecule	0.923	3.709
100505664	LOC100505664	uncharacterized LOC100505664	-1.814	6.147
100505683	LINC01431	long intergenic non-protein coding RNA 1431	-1.768	6.048
105372576	WAKMAR1	wound and keratinocyte migration associated lncRNA 1	-6.683	28.686
105372578	LINC02967	long intergenic non-protein coding RNA 2967	-1.189	8.252
8530	CST7	cystatin F	1.987	7.298
57136	APMAP	adipocyte plasma membrane associated protein	-1.156	2.991
84532	ACSS1	acyl-CoA synthetase short chain family member 1	-0.7	3.779
955	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6	-0.76	7.026
105372579	LOC105372579	uncharacterized LOC105372579	-1.602	6.032
9837	GINS1	GINS complex subunit 1	1.248	12.356
140838	NANP	N-acetylneuraminic acid phosphatase	0.565	3.976
107985400	LOC107985400	uncharacterized LOC107985400	-1.148	2.365
728882	FAM182B	family with sequence similarity 182 member B	0.532	1.509
284800	FAM182A	family with sequence similarity 182 member A	0.668	1.864
100289097	FRG1CP	FSHD region gene 1 family member C, pseudogene	-0.54	1.531
102723552	ANKRD20A21P	ankyrin repeat domain 20 family member A21, pseudogene	-1.428	2.044
81502	HM13	histocompatibility minor 13	0.889	13.437
3397	ID1	inhibitor of DNA binding 1	1.34	13.616
22974	TPX2	TPX2 microtubule nucleation factor	1.915	16.605
3055	HCK	HCK proto-oncogene, Src family tyrosine kinase	0.776	2.457
9777	TM9SF4	transmembrane 9 superfamily member 4	0.638	7.291
107985403	LOC107985403		0.7	6.167
5326	PLAGL2	PLAG1 like zinc finger 2	0.829	10.594
284805	C20orf203	chromosome 20 open reading frame 203	-2.955	13.606
1789	DNMT3B	DNA methyltransferase 3 beta	0.872	5.018
22919	MAPRE1	microtubule associated protein RP/EB family member 1	0.547	6.84
388795	EFCAB8	EF-hand calcium binding domain 8	-0.727	3.259
6640	SNTA1	syntrophin alpha 1	-0.687	3.908
170487	ACTL10	actin like 10	0.834	5.068
1869	E2F1	E2F transcription factor 1	0.57	5.133
434	ASIP	agouti signaling protein	-1.541	5.181
191	AHCY	adenosylhomocysteinase	0.756	10.007
83658	DYNLRB1	dynein light chain roadblock-type 1	-0.811	8.694
58476	TP53INP2	tumor protein p53 inducible nuclear protein 2	0.663	3.978
2686	GGT7	gamma-glutamyltransferase 7	-0.635	3.929
55902	ACSS2	acyl-CoA synthetase short chain family member 2	-0.656	1.783
57644	MYH7B	myosin heavy chain 7B	-1.153	4.028
107985393	LOC107985393		-1.029	1.82
3692	EIF6	eukaryotic translation initiation factor 6	0.721	9.825
128876	FAM83C	family with sequence similarity 83 member C	0.503	3.279
80307	FER1L4	fer-1 like family member 4 (pseudogene)	-2.321	8.466
10137	RBM12	RNA binding motif protein 12	0.531	4.129
2036	EPB41L1	erythrocyte membrane protein band 4.1 like 1	0.933	4.872
105372602	LOC105372602	uncharacterized LOC105372602	0.815	2.743
10398	MYL9	myosin light chain 9	-1.411	4.798
100527943	TGIF2-RAB5IF	TGIF2-RAB5IF readthrough	1.082	10.082
55969	RAB5IF	RAB5 interacting factor	1.09	9.565
84174	SLA2	Src like adaptor 2	1.069	10.101
140711	TLDC2	TBC/LysM-associated domain containing 2	0.639	1.821
25939	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	0.899	4.195
5933	RBL1	RB transcriptional corepressor like 1	0.838	4.195
6185	RPN2	ribophorin II	0.671	5.248
6714	SRC	SRC proto-oncogene, non-receptor tyrosine kinase	0.63	9.161
4826	NNAT	neuronatin	-0.596	1.93
128434	VSTM2L	V-set and transmembrane domain containing 2 like	-1.276	3.057
85449	KIAA1755	KIAA1755	-0.819	3.028
26051	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	0.968	7.085
81610	FAM83D	family with sequence similarity 83 member D	1.204	16.053
7150	TOP1	DNA topoisomerase I	1.046	29.98
101927117	PLCG1-AS1	PLCG1 antisense RNA 1	1.097	12.331
90187	EMILIN3	elastin microfibril interfacer 3	-1.128	4.209
101927182	LOC101927182	uncharacterized LOC101927182	-2.418	7.236
11122	PTPRT	protein tyrosine phosphatase receptor type T	-1.081	5.474
26013	L3MBTL1	L3MBTL histone methyl-lysine binding protein 1	-0.521	1.569
4605	MYBL2	MYB proto-oncogene like 2	1.984	12.506
84969	TOX2	TOX high mobility group box family member 2	-1.073	5.4
57158	JPH2	junctophilin 2	-1.469	7.543
100505783	OSER1-DT	OSER1 divergent transcript	-1.247	8.274
11142	PKIG	cAMP-dependent protein kinase inhibitor gamma	-0.565	2.578
8839	CCN5	cellular communication network factor 5	-1.859	4.59
140730	RIMS4	regulating synaptic membrane exocytosis 4	-1.281	2.498
6789	STK4	serine/threonine kinase 4	0.585	7.753
128488	WFDC12	WAP four-disulfide core domain 12	0.836	1.839
101929863	LOC101929863	uncharacterized LOC101929863	2.882	16.688
5266	PI3	peptidase inhibitor 3	8.754	74.363
6590	SLPI	secretory leukocyte peptidase inhibitor	1.36	7.969
8785	MATN4	matrilin 4	-1.718	5.43
6385	SDC4	syndecan 4	-1.18	14.446
107985404	LOC107985404	uncharacterized LOC107985404	-1.046	4.971
10406	WFDC2	WAP four-disulfide core domain 2	-2.103	6.482
140686	WFDC3	WAP four-disulfide core domain 3	-4.239	12.712
11065	UBE2C	ubiquitin conjugating enzyme E2 C	1.889	17.425
7125	TNNC2	troponin C2, fast skeletal type	-1.516	5.557
90203	SNX21	sorting nexin family member 21	-0.648	3.789
10005	ACOT8	acyl-CoA thioesterase 8	-0.598	6.927
5476	CTSA	cathepsin A	0.689	13.904
5360	PLTP	phospholipid transfer protein	0.77	3.438
4318	MMP9	matrix metallopeptidase 9	2.377	8.327
109729184	SLC12A5-AS1	SLC12A5 and MMP9 antisense RNA 1	2.259	6.769
55713	ZNF334	zinc finger protein 334	-1.191	3.561
64849	SLC13A3	solute carrier family 13 member 3	-1.187	9.83
8202	NCOA3	nuclear receptor coactivator 3	0.882	5.118
57580	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	0.731	3.289
10564	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	0.637	3.033
1434	CSE1L	chromosome segregation 1 like	0.628	5.301
57169	ZNFX1	zinc finger NFX1-type containing 1	1.071	13.292
3745	KCNB1	potassium voltage-gated channel subfamily B member 1	-0.903	4.216
5740	PTGIS	prostaglandin I2 synthase	-0.887	1.662
101927559	CEBPB-AS1	CEBPB antisense RNA 1	0.766	8.781
1051	CEBPB	CCAAT enhancer binding protein beta	0.814	9.595
100506115	PELATON	plaque enriched lncRNA in atherosclerotic and inflammatory bowel macrophage regulation	2.475	12.058
140876	RIPOR3	RIPOR family member 3	2.002	14.946
55653	BCAS4	breast carcinoma amplified sequence 4	-0.836	2.475
3755	KCNG1	potassium voltage-gated channel modifier subfamily G member 1	1.189	3.263
10079	ATP9A	ATPase phospholipid transporting 9A (putative)	0.51	2.804
57167	SALL4	spalt like transcription factor 4	1.866	4.731
128553	TSHZ2	teashirt zinc finger homeobox 2	-0.662	5.211
101927770	LOC101927770	uncharacterized LOC101927770	1.42	4.548
7764	ZNF217	zinc finger protein 217	1.307	18.889
8537	BCAS1	brain enriched myelin associated protein 1	-1.796	6.265
1591	CYP24A1	cytochrome P450 family 24 subfamily A member 1	3.927	34.933
6790	AURKA	aurora kinase A	2.437	18.961
57091	CASS4	Cas scaffold protein family member 4	0.965	2.79
200232	FAM209A	family with sequence similarity 209 member A	-0.871	1.57
388799	FAM209B	family with sequence similarity 209 member B	-0.757	1.37
7022	TFAP2C	transcription factor AP-2 gamma	0.524	5.409
5105	PCK1	phosphoenolpyruvate carboxykinase 1	-1.815	2.326
81030	ZBP1	Z-DNA binding protein 1	2.86	10.851
105372693	LOC105372693	uncharacterized LOC105372693	-4.102	12.746
57403	RAB22A	RAB22A, member RAS oncogene family	0.525	8.254
164284	APCDD1L	APC down-regulated 1 like	-0.973	2.119
149773	APCDD1L-DT	APCDD1L divergent transcript	-3.061	11.051
51012	PRELID3B	PRELI domain containing 3B	0.623	6.041
128611	ZNF831	zinc finger protein 831	1.657	6.487
116154	PHACTR3	phosphatase and actin regulator 3	-1.99	17.28
10388	SYCP2	synaptonemal complex protein 2	-0.896	4.307
63939	FAM217B	family with sequence similarity 217 member B	0.804	7.094
5509	PPP1R3D	protein phosphatase 1 regulatory subunit 3D	0.666	6.177
60437	CDH26	cadherin 26	2.335	22.037
284756	LINC02910	long intergenic non-protein coding RNA 2910	-1.181	3.541
1002	CDH4	cadherin 4	-1.294	2.354
11255	HRH3	histamine receptor H3	3.327	19.6
105369209	LOC105369209	uncharacterized LOC105369209	1.905	9.854
3911	LAMA5	laminin subunit alpha 5	-0.604	1.771
101928158	LAMA5-AS1	LAMA5 antisense RNA 1	-0.865	1.82
6227	RPS21	ribosomal protein S21	-0.604	2.923
1299	COL9A3	collagen type IX alpha 3 chain	-0.571	3.506
54994	GID8	GID complex subunit 8 homolog	0.689	9.334
63910	SLC17A9	solute carrier family 17 member 9	-0.95	3.239
79444	BIRC7	baculoviral IAP repeat containing 7	-1.677	9.001
100192386	FLJ16779	uncharacterized LOC100192386	-0.776	1.868
6725	SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	1.177	4.654
85441	HELZ2	helicase with zinc finger 2	2.341	23.873
50861	STMN3	stathmin 3	-0.802	7.103
8771	TNFRSF6B	TNF receptor superfamily member 6b	0.621	1.754
10139	ARFRP1	ADP ribosylation factor related protein 1	0.501	5.299
56731	SLC2A4RG	SLC2A4 regulator	-0.997	21.64
140701	ABHD16B	abhydrolase domain containing 16B	0.881	6.588
112268269	LOC112268269	uncharacterized LOC112268269	1.269	12.689
80331	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5	1.134	18.397
284739	C20orf204	chromosome 20 open reading frame 204	-0.851	2.3
6919	TCEA2	transcription elongation factor A2	-0.545	4.389
102724398	CH507-42P11.6	uncharacterized CH507-42P11.6	-1.5	8.87
102724428	LOC102724428	salt inducible kinase 1B (putative)	-1.595	7.778
102724701	LOC102724701	uncharacterized LOC102724701	-0.631	1.737
105379493	CH507-145C22.1	uncharacterized CH507-145C22.1	-0.841	2.491
102724560	LOC102724560	cystathionine beta-synthase like	-1.504	10.152
105379499	LOC105379499	uncharacterized LOC105379499	-0.685	2.609
102723553	LOC102723553	small integral membrane protein 11B	-0.749	6.611
109864279	RNA45SN2	RNA, 45S pre-ribosomal N2	-1.399	2.632
109864281	RNA5-8SN2	RNA, 5.8S ribosomal N2	-0.674	1.744
109864282	RNA28SN2	RNA, 28S ribosomal N2	-1.718	3.928
105379506	LOC105379506		-0.724	2.677
109910379	RNA45SN3	RNA, 45S pre-ribosomal N3	-1.384	2.585
109910381	RNA5-8SN3	RNA, 5.8S ribosomal N3	-0.749	1.791
109910382	RNA28SN3	RNA, 28S ribosomal N3	-1.703	3.879
112268284	LOC112268284		-1.754	3.216
105379508	LOC105379508		-0.767	3.283
106631777	RNA45SN1	RNA, 45S pre-ribosomal N1	-1.411	2.683
106632260	RNA5-8SN1	RNA, 5.8S ribosomal N1	-0.817	1.883
106632264	RNA28SN1	RNA, 28S ribosomal N1	-1.698	3.83
105379507	LOC105379507	uncharacterized LOC105379507	-0.76	3.392
54055	CYP4F29P	cytochrome P450 family 4 subfamily F member 29, pseudogene	-2.754	2.884
54033	RBM11	RNA binding motif protein 11	-1.736	5.725
6782	HSPA13	heat shock protein family A (Hsp70) member 13	0.614	3.316
64092	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1	2.415	11.791
8204	NRIP1	nuclear receptor interacting protein 1	1.187	5.502
388815	MIR99AHG	mir-99a-let-7c cluster host gene	-1.059	7.02
1525	CXADR	CXADR Ig-like cell adhesion molecule	0.638	4.561
246312	C21orf91-OT1	C21orf91 overlapping transcript 1	0.878	2.231
54149	C21orf91	chromosome 21 open reading frame 91	0.549	2.962
114614	MIR155HG	MIR155 host gene	1.143	3.205
29104	N6AMT1	N-6 adenine-specific DNA methyltransferase 1	-0.873	6.458
