GeneID	Symbol	Description	log2(fold change)(AkS vs lesion-PsA)	-log10(Pvalue)(AkS vs lesion-PsA)
105372576	WAKMAR1	wound and keratinocyte migration associated lncRNA 1	4.726	7.44
105372578	LINC02967	long intergenic non-protein coding RNA 2967	0.814	1.861
8530	CST7	cystatin F	-1.581	6.466
84532	ACSS1	acyl-CoA synthetase short chain family member 1	0.704	2.574
105372579	LOC105372579	uncharacterized LOC105372579	1.302	1.776
5834	PYGB	glycogen phosphorylase B	0.837	2.88
9837	GINS1	GINS complex subunit 1	-1.171	5.809
22981	NINL	ninein like	0.863	2.068
102724826	ZNF337-AS1	ZNF337 antisense RNA 1	0.645	1.95
26152	ZNF337	zinc finger protein 337	0.665	2.01
728882	FAM182B	family with sequence similarity 182 member B	-0.794	2.108
101926935	LOC101926935	uncharacterized LOC101926935	1.422	6.873
284800	FAM182A	family with sequence similarity 182 member A	-1.006	2.038
81502	HM13	histocompatibility minor 13	-0.737	8.175
3397	ID1	inhibitor of DNA binding 1	-0.907	3.875
22974	TPX2	TPX2 microtubule nucleation factor	-1.172	5.385
3055	HCK	HCK proto-oncogene, Src family tyrosine kinase	-0.913	3.942
128854	TSPY26P	testis specific protein Y-linked 26, pseudogene	0.743	1.36
1789	DNMT3B	DNA methyltransferase 3 beta	-0.772	2.464
22919	MAPRE1	microtubule associated protein RP/EB family member 1	-0.562	2.316
9139	CBFA2T2	CBFA2/RUNX1 partner transcriptional co-repressor 2	0.813	2.432
8894	EIF2S2	eukaryotic translation initiation factor 2 subunit beta	-0.746	3.195
434	ASIP	agouti signaling protein	2.296	10.764
191	AHCY	adenosylhomocysteinase	-0.934	2.504
2686	GGT7	gamma-glutamyltransferase 7	0.633	4.409
55902	ACSS2	acyl-CoA synthetase short chain family member 2	1.171	1.879
57644	MYH7B	myosin heavy chain 7B	1.2	3.518
55741	EDEM2	ER degradation enhancing alpha-mannosidase like protein 2	-0.589	3.292
10544	PROCR	protein C receptor	-0.767	1.737
3692	EIF6	eukaryotic translation initiation factor 6	-1.268	7.377
128876	FAM83C	family with sequence similarity 83 member C	-0.563	1.756
100527943	TGIF2-RAB5IF	TGIF2-RAB5IF readthrough	-1.382	3.425
55969	RAB5IF	RAB5 interacting factor	-1.366	3.506
84174	SLA2	Src like adaptor 2	-1.293	3.926
140710	SOGA1	suppressor of glucose, autophagy associated 1	0.878	2.918
5933	RBL1	RB transcriptional corepressor like 1	-0.701	5.701
4826	NNAT	neuronatin	1.158	2.932
85449	KIAA1755	KIAA1755	0.79	1.629
81610	FAM83D	family with sequence similarity 83 member D	-1.181	5.443
7150	TOP1	DNA topoisomerase I	-0.826	6.147
101927117	PLCG1-AS1	PLCG1 antisense RNA 1	-0.64	3.279
84181	CHD6	chromodomain helicase DNA binding protein 6	0.735	3.744
11122	PTPRT	protein tyrosine phosphatase receptor type T	1.287	3.522
4605	MYBL2	MYB proto-oncogene like 2	-1.623	9.763
57158	JPH2	junctophilin 2	1.378	4.017
149708	WFDC5	WAP four-disulfide core domain 5	-0.766	1.345
128488	WFDC12	WAP four-disulfide core domain 12	-2.045	1.776
101929863	LOC101929863	uncharacterized LOC101929863	-3.604	11.628
5266	PI3	peptidase inhibitor 3	-8.445	32.35
8785	MATN4	matrilin 4	2.144	7.369
11317	RBPJL	recombination signal binding protein for immunoglobulin kappa J region like	1.893	4.57
6385	SDC4	syndecan 4	0.868	6.305
10406	WFDC2	WAP four-disulfide core domain 2	1.304	2.789
140686	WFDC3	WAP four-disulfide core domain 3	1.932	2.822
11065	UBE2C	ubiquitin conjugating enzyme E2 C	-1.128	4.981
7125	TNNC2	troponin C2, fast skeletal type	1.158	2.292
5476	CTSA	cathepsin A	-0.515	2.058
4318	MMP9	matrix metallopeptidase 9	-1.787	5.92
109729184	SLC12A5-AS1	SLC12A5 and MMP9 antisense RNA 1	-1.599	5.417
64405	CDH22	cadherin 22	1.221	3.341
55713	ZNF334	zinc finger protein 334	1.802	6.892
64849	SLC13A3	solute carrier family 13 member 3	0.577	2.269
3745	KCNB1	potassium voltage-gated channel subfamily B member 1	1.673	6.182
6615	SNAI1	snail family transcriptional repressor 1	0.668	2.072
1051	CEBPB	CCAAT enhancer binding protein beta	-0.618	1.48
100506115	PELATON	plaque enriched lncRNA in atherosclerotic and inflammatory bowel macrophage regulation	-2.448	7.305
140876	RIPOR3	RIPOR family member 3	-1.761	8.013
8813	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	-0.684	1.756
27304	MOCS3	molybdenum cofactor synthesis 3	-0.585	4.875
4773	NFATC2	nuclear factor of activated T cells 2	0.537	2.178
7764	ZNF217	zinc finger protein 217	-0.623	2.866
8537	BCAS1	brain enriched myelin associated protein 1	1.413	2.867
1591	CYP24A1	cytochrome P450 family 24 subfamily A member 1	-3.012	6.659
55816	DOK5	docking protein 5	0.789	1.598
6790	AURKA	aurora kinase A	-1.411	6.317
57091	CASS4	Cas scaffold protein family member 4	-0.866	2.112
8480	RAE1	ribonucleic acid export 1	-0.583	4.237
81030	ZBP1	Z-DNA binding protein 1	-1.907	3.878
164284	APCDD1L	APC down-regulated 1 like	1.337	1.453
149773	APCDD1L-DT	APCDD1L divergent transcript	2.321	5.638
51012	PRELID3B	PRELI domain containing 3B	-1.059	3.765
128611	ZNF831	zinc finger protein 831	-1.213	2.342
1908	EDN3	endothelin 3	2.358	4.807
116154	PHACTR3	phosphatase and actin regulator 3	1.225	3.23
60437	CDH26	cadherin 26	-2.059	11.286
1002	CDH4	cadherin 4	1.995	7.177
5688	PSMA7	proteasome 20S subunit alpha 7	-0.89	2.123
26039	SS18L1	SS18L1 subunit of BAF chromatin remodeling complex	0.552	1.6
105369209	LOC105369209	uncharacterized LOC105369209	-1.313	3.388
3911	LAMA5	laminin subunit alpha 5	1.184	2.648
101928158	LAMA5-AS1	LAMA5 antisense RNA 1	1.428	3.809
28231	SLCO4A1	solute carrier organic anion transporter family member 4A1	-0.683	1.478
55257	MRGBP	MRG domain binding protein	-0.537	4.022
54994	GID8	GID complex subunit 8 homolog	-0.644	3.403
79444	BIRC7	baculoviral IAP repeat containing 7	1.177	1.864
128414	NKAIN4	sodium/potassium transporting ATPase interacting 4	1.296	1.443
6725	SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	-1.722	4.641
85441	HELZ2	helicase with zinc finger 2	-1.384	4.79
100533107	RTEL1-TNFRSF6B	RTEL1-TNFRSF6B readthrough (NMD candidate)	-0.72	2.031
8771	TNFRSF6B	TNF receptor superfamily member 6b	-1.669	8.358
56731	SLC2A4RG	SLC2A4 regulator	0.604	4.299
140685	ZBTB46	zinc finger and BTB domain containing 46	0.524	1.46
140701	ABHD16B	abhydrolase domain containing 16B	-0.548	1.729
112268269	LOC112268269	uncharacterized LOC112268269	-0.739	1.684
7165	TPD52L2	TPD52 like 2	-0.685	7.386
102724398	CH507-42P11.6	uncharacterized CH507-42P11.6	1.085	2.178
102724560	LOC102724560	cystathionine beta-synthase like	0.802	2.04
105379504	LOC105379504	salivary glue protein Sgs-3-like	-1.823	5.992
109864279	RNA45SN2	RNA, 45S pre-ribosomal N2	-0.506	1.315
109864280	RNA18SN2	RNA, 18S ribosomal N2	-0.665	1.534
109910380	RNA18SN3	RNA, 18S ribosomal N3	-0.658	1.499
106631781	RNA18SN1	RNA, 18S ribosomal N1	-0.662	1.491
6782	HSPA13	heat shock protein family A (Hsp70) member 13	-0.644	1.731
64092	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1	-1.73	6.45
8204	NRIP1	nuclear receptor interacting protein 1	-0.983	3.618
388815	MIR99AHG	mir-99a-let-7c cluster host gene	0.611	2.167
105372740	LOC105372740	uncharacterized LOC105372740	-2.054	1.823
1525	CXADR	CXADR Ig-like cell adhesion molecule	-0.579	2.874
10950	BTG3	BTG anti-proliferation factor 3	-0.75	3.379
110806272	BTG3-AS1	BTG3 antisense RNA 1	-0.926	4.374
4685	NCAM2	neural cell adhesion molecule 2	1.372	8.159
114614	MIR155HG	MIR155 host gene	-1.777	4.024
54148	MRPL39	mitochondrial ribosomal protein L39	-0.616	1.539
58494	JAM2	junctional adhesion molecule 2	0.587	4.142
193629	LINC00189	long intergenic non-protein coding RNA 189	-2.03	4.152
2897	GRIK1	glutamate ionotropic receptor kainate type subunit 1	0.861	1.305
26285	CLDN17	claudin 17	-6.155	10.712
9073	CLDN8	claudin 8	1.538	5.425
30811	HUNK	hormonally up-regulated Neu-associated kinase	0.817	4.21
59271	EVA1C	eva-1 homolog C	-0.579	3.731
100506215	PAXBP1-AS1	PAXBP1 antisense RNA 1	0.673	2.214
54067	C21orf62-AS1	C21orf62 antisense RNA 1	0.718	1.578
2618	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	-0.936	14.178
29980	DONSON	DNA replication fork stabilization factor DONSON	-0.531	4.144
6453	ITSN1	intersectin 1	0.638	5.235
64968	MRPS6	mitochondrial ribosomal protein S6	-0.668	1.627
105372793	LOC105372793	uncharacterized LOC105372793	-1.558	4.817
54102	CLIC6	chloride intracellular channel 6	0.577	1.38
100133286	CBR1-AS1	CBR1 antisense RNA 1	-0.96	2.874
873	CBR1	carbonyl reductase 1	-0.817	2.439
100506428	CBR3-AS1	CBR3 antisense RNA 1	-0.735	1.451
874	CBR3	carbonyl reductase 3	-0.885	1.717
3141	HLCS	holocarboxylase synthetase	0.944	1.565
7267	TTC3	tetratricopeptide repeat domain 3	0.529	3.559
100874006	TTC3-AS1	TTC3 antisense RNA 1	0.567	2.339
3772	KCNJ15	potassium inwardly rectifying channel subfamily J member 15	-1.975	4.612
102724740	LINC02940	long intergenic non-protein coding RNA 2940	0.912	2.615
8624	PSMG1	proteasome assembly chaperone 1	-0.931	3.039
6450	SH3BGR	SH3 domain binding glutamate rich protein	0.743	1.841
10317	B3GALT5	beta-1,3-galactosyltransferase 5	1.744	2.123
54097	FAM3B	FAM3 metabolism regulating signaling molecule B	0.6	1.311
4600	MX2	MX dynamin like GTPase 2	-1.275	4.445
4599	MX1	MX dynamin like GTPase 1	-2.487	11.576
7113	TMPRSS2	transmembrane serine protease 2	1.9	1.981
54101	RIPK4	receptor interacting serine/threonine kinase 4	-0.514	1.469
25966	C2CD2	C2 calcium dependent domain containing 2	0.772	2.51
9619	ABCG1	ATP binding cassette subfamily G member 1	-0.684	3.555
64699	TMPRSS3	transmembrane serine protease 3	1.157	1.568
53347	UBASH3A	ubiquitin associated and SH3 domain containing A	-1.079	2.162
89765	RSPH1	radial spoke head component 1	0.99	5.141
107987299	LOC107987299	uncharacterized LOC107987299	0.699	1.387
101928212	LOC101928212	uncharacterized LOC101928212	0.859	1.578
101928233	LINC01671	long intergenic non-protein coding RNA 1671	-1.699	2.594
5152	PDE9A	phosphodiesterase 9A	1.5	2.709
10785	WDR4	WD repeat domain 4	-1.035	10.891
101928399	LINC01679	long intergenic non-protein coding RNA 1679	0.552	1.708
105377137	LNCSIK1	uncharacterized LOC105377137	1.304	4.656
150094	SIK1	salt inducible kinase 1	0.907	1.377
1476	CSTB	cystatin B	-1.081	2.36
7226	TRPM2	transient receptor potential cation channel subfamily M member 2	-0.633	2.387
54084	TSPEAR	thrombospondin type laminin G domain and EAR repeats	2.228	5.981
3689	ITGB2	integrin subunit beta 2	-0.656	2.779
85395	SLX9	SLX9 ribosome biogenesis factor	-0.661	3.286
23275	POFUT2	protein O-fucosyltransferase 2	0.515	1.344
642852	LINC00205	long intergenic non-protein coding RNA 205	0.978	3.315
387590	TPTEP1	TPTE pseudogene 1	0.813	2.353
112268292	LOC112268292		1.634	4.532
100130418	CECR7	cat eye syndrome chromosome region, candidate 7	0.884	2.605
637	BID	BH3 interacting domain death agonist	-0.975	4.536
57553	MICAL3	microtubule associated monooxygenase, calponin and LIM domain containing 3	0.757	2.304
51807	TUBA8	tubulin alpha 8	1.062	4.836
11274	USP18	ubiquitin specific peptidase 18	-1.008	3.57
728233	PI4KAP1	phosphatidylinositol 4-kinase alpha pseudogene 1	0.854	1.365
5625	PRODH	proline dehydrogenase 1	1.241	3.211
7353	UFD1	ubiquitin recognition factor in ER associated degradation 1	-0.826	1.918
8318	CDC45	cell division cycle 45	-1.64	16.943
79680	RTL10	retrotransposon Gag like 10	0.527	1.871
421	ARVCF	ARVCF delta catenin family member	0.842	2.336
5902	RANBP1	RAN binding protein 1	-0.941	12.606
388849	CCDC188	coiled-coil domain containing 188	1.119	1.451
91179	SCARF2	scavenger receptor class F member 2	0.76	1.772
84222	TMEM191A	transmembrane protein 191A (pseudogene)	-0.928	2.375
23119	HIC2	HIC ZBTB transcriptional repressor 2	0.931	2.611
375133	PI4KAP2	phosphatidylinositol 4-kinase alpha pseudogene 2	0.965	2.401
7332	UBE2L3	ubiquitin conjugating enzyme E2 L3	-0.543	2.605
150223	YDJC	YdjC chitooligosaccharide deacetylase homolog	-0.644	3.363
23753	SDF2L1	stromal cell derived factor 2 like 1	-1.119	3.002
96610	BMS1P20	BMS1 pseudogene 20	-0.695	1.725
28779	IGLV5-52	immunoglobulin lambda variable 5-52	0.801	1.601
27156	RSPH14	radial spoke head 14 homolog	1.028	2.334
2781	GNAZ	G protein subunit alpha z	0.938	3.35
150244	ZDHHC8BP	ZDHHC8B, pseudogene	2.174	5.596
7621	ZNF70	zinc finger protein 70	0.71	2.997
66035	SLC2A11	solute carrier family 2 member 11	0.851	4.224
284889	MIF-AS1	MIF antisense RNA 1	-0.994	2.604
4282	MIF	macrophage migration inhibitory factor	-1.009	2.629
2953	GSTT2	glutathione S-transferase theta 2 (gene/pseudogene)	1.049	1.338
56241	SUSD2	sushi domain containing 2	0.823	2.081
135	ADORA2A	adenosine A2a receptor	-0.634	1.478
2678	GGT1	gamma-glutamyltransferase 1	0.702	2.08
129049	SGSM1	small G protein signaling modulator 1	1.31	6.161
255349	LHFPL7	LHFPL tetraspan subfamily member 7	1.685	1.824
85379	KIAA1671	KIAA1671	0.845	2.499
100128531	KIAA1671-AS1	KIAA1671 antisense RNA 1	1.136	4.745
1417	CRYBB3	crystallin beta B3	1.021	2.892
89781	HPS4	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2	0.523	2.121
440823	MIAT	myocardial infarction associated transcript	-1.162	1.704
105372976	LOC105372976		1.212	2.208
23760	PITPNB	phosphatidylinositol transfer protein beta	-0.588	6.155
23331	TTC28	tetratricopeptide repeat domain 28	0.906	3.541
11200	CHEK2	checkpoint kinase 2	-0.852	9.754
7494	XBP1	X-box binding protein 1	-0.524	1.716
3976	LIF	LIF interleukin 6 family cytokine	1.5	6.365
5008	OSM	oncostatin M	-3.562	10.321
23541	SEC14L2	SEC14 like lipid binding 2	-0.58	1.793
51537	MTFP1	mitochondrial fission process 1	-0.983	4.787
339665	SLC35E4	solute carrier family 35 member E4	-1.041	6.405
23762	OSBP2	oxysterol binding protein 2	-0.842	1.793
27124	INPP5J	inositol polyphosphate-5-phosphatase J	0.778	1.725
50487	PLA2G3	phospholipase A2 group III	-2.52	14.642
23598	PATZ1	POZ/BTB and AT hook containing zinc finger 1	0.75	3.264
54944	LINC01521	long intergenic non-protein coding RNA 1521	0.664	2.077
6523	SLC5A1	solute carrier family 5 member 1	-2.414	10.185
51493	RTCB	RNA 2',3'-cyclic phosphate and 5'-OH ligase	-0.743	3.31
254240	BPIFC	BPI fold containing family C	-0.834	1.889
8224	SYN3	synapsin III	1.066	2.667
7078	TIMP3	TIMP metallopeptidase inhibitor 3	1.125	6.756
3162	HMOX1	heme oxygenase 1	-1.815	5.987
4174	MCM5	minichromosome maintenance complex component 5	-0.761	4.583
23551	RASD2	RASD family member 2	1.239	2.911
4151	MB	myoglobin	0.897	1.4
80830	APOL6	apolipoprotein L6	-1.468	12.654
80832	APOL4	apolipoprotein L4	-0.877	1.88
23780	APOL2	apolipoprotein L2	-0.99	7.777
8542	APOL1	apolipoprotein L1	-2.182	13.522
112268296	LOC112268296		-2.044	12.712
105373020	LOC105373020	uncharacterized LOC105373020	-0.829	1.486
107985578	NCF4-AS1	NCF4 antisense RNA 1	-0.984	2.371
4689	NCF4	neutrophil cytosolic factor 4	-0.869	3.128
1439	CSF2RB	colony stimulating factor 2 receptor subunit beta	-0.903	2.941
79734	KCTD17	potassium channel tetramerization domain containing 17	0.693	2.183
164656	TMPRSS6	transmembrane serine protease 6	1.369	2.044
5880	RAC2	Rac family small GTPase 2	-1.169	4.861
27128	CYTH4	cytohesin 4	-0.783	2.89
105373024	LOC105373024	uncharacterized LOC105373024	-0.872	2.099
11135	CDC42EP1	CDC42 effector protein 1	-0.855	3.74
79159	NOL12	nucleolar protein 12	-0.565	4.329
23464	GCAT	glycine C-acetyltransferase	-0.516	1.641
85377	MICALL1	MICAL like 1	-0.917	3.021
5435	POLR2F	RNA polymerase II, I and III subunit F	-0.627	1.331
6663	SOX10	SRY-box transcription factor 10	1.624	6.422
8398	PLA2G6	phospholipase A2 group VI	1.052	3.11
23764	MAFF	MAF bZIP transcription factor F	-0.617	2.142
646851	FAM227A	family with sequence similarity 227 member A	1.758	3.515
56993	TOMM22	translocase of outer mitochondrial membrane 22	-0.887	1.657
9929	JOSD1	Josephin domain containing 1	-0.56	2.85
25777	SUN2	Sad1 and UNC84 domain containing 2	0.515	1.457
23467	NPTXR	neuronal pentraxin receptor	1.223	6.54
23466	CBX6	chromobox 6	0.719	3.194
200315	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A	-4.494	12.583
9582	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	-1.237	3.267
100874530	APOBEC3B-AS1	APOBEC3B antisense RNA 1	-1.428	3.647
60489	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	-0.802	1.8
23492	CBX7	chromobox 7	1.023	6.458
5155	PDGFB	platelet derived growth factor subunit B	0.794	2.748
9145	SYNGR1	synaptogyrin 1	0.678	5.538
100506472	LOC100506472	uncharacterized LOC100506472	1.379	2.767
4248	MGAT3	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	1.248	3.42
468	ATF4	activating transcription factor 4	-0.638	5.424
91582	RPS19BP1	ribosomal protein S19 binding protein 1	-0.549	1.675
23112	TNRC6B	trinucleotide repeat containing adaptor 6B	0.614	2.416
158	ADSL	adenylosuccinate lyase	-0.65	1.338
2847	MCHR1	melanin concentrating hormone receptor 1	-0.858	1.307
150356	CHADL	chondroadherin like	0.953	4.141
23264	ZC3H7B	zinc finger CCCH-type containing 7B	0.508	1.394
7008	TEF	TEF transcription factor, PAR bZIP family member	0.586	3.397
84844	PHF5A	PHD finger protein 5A	-0.784	1.413
27254	CSDC2	cold shock domain containing C2	1.389	1.795
2547	XRCC6	X-ray repair cross complementing 6	-0.551	2.769
150365	MEI1	meiotic double-stranded break formation protein 1	-0.928	2.248
100132273	NDUFA6-DT	NDUFA6 divergent transcript	0.504	1.6
102723722	LOC102723722	uncharacterized LOC102723722	0.573	1.977
101927372	LOC101927372	uncharacterized LOC101927372	1.728	4.751
27341	RRP7A	ribosomal RNA processing 7 homolog A	-0.639	2.751
253190	SERHL2	serine hydrolase like 2	1.543	2.925
91695	RRP7BP	ribosomal RNA processing 7 homolog B, pseudogene	0.726	1.868
1727	CYB5R3	cytochrome b5 reductase 3	0.536	2.516
53947	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	0.606	3.497
11252	PACSIN2	protein kinase C and casein kinase substrate in neurons 2	0.532	2.112
638	BIK	BCL2 interacting killer	-1.36	7.619
706	TSPO	translocator protein	-0.744	2.776
23170	TTLL12	tubulin tyrosine ligase like 12	-0.58	1.808
80274	SCUBE1	signal peptide, CUB domain and EGF like domain containing 1	2.289	10.057
100506714	NUP50-DT	NUP50 divergent transcript	-0.568	1.469
55007	FAM118A	family with sequence similarity 118 member A	0.867	1.678
105373066	LOC105373066	uncharacterized LOC105373066	1.1	1.573
2192	FBLN1	fibulin 1	1.317	6.305
7477	WNT7B	Wnt family member 7B	1.428	5.364
100271722	LINC00899	long intergenic non-protein coding RNA 899	1.031	3.868
400931	MIRLET7BHG	MIRLET7B host gene	1.257	2.874
112268288	LOC112268288	uncharacterized LOC112268288	1.368	3.838
100616143	MIR4763	microRNA 4763	1.347	2.388
5465	PPARA	peroxisome proliferator activated receptor alpha	0.725	1.677
10343	PKDREJ	polycystin family receptor for egg jelly	0.987	2.218
55020	TTC38	tetratricopeptide repeat domain 38	0.967	2.633
51512	GTSE1	G2 and S-phase expressed 1	-0.707	1.966
25817	TAFA5	TAFA chemokine like family member 5	0.727	1.828
79174	CRELD2	cysteine rich with EGF like domains 2	-0.636	3.469
107985553	LOC107985553		-0.697	2.948
23209	MLC1	modulator of VRAC current 1	1.83	5.303
414918	DENND6B	DENN domain containing 6B	0.538	1.323
29781	NCAPH2	non-SMC condensin II complex subunit H2	-0.582	5.572
9997	SCO2	synthesis of cytochrome C oxidase 2	-2.238	23.617
1890	TYMP	thymidine phosphorylase	-2.963	30.806
440836	ODF3B	outer dense fiber of sperm tails 3B	-0.936	4.427
102724608	LOC102724608	uncharacterized LOC102724608	-3.849	17.419
105373098	KLHDC7B-DT	KLHDC7B divergent transcript	-4.015	20.968
113730	KLHDC7B	kelch domain containing 7B	-3.177	10.122
85358	SHANK3	SH3 and multiple ankyrin repeat domains 3	0.782	1.309
109864273	RNA18SN4	RNA, 18S pre-ribosomal N4	-0.659	1.506
105379549	LOC105379549	uncharacterized LOC105379549	1.451	2.281
102724788	LOC102724788	replaced by ID 5625	1.265	4.048
55344	PLCXD1	phosphatidylinositol specific phospholipase C X domain containing 1	-1.526	7.22
283981	LINC00685	long intergenic non-protein coding RNA 685	1.191	2.512
64109	CRLF2	cytokine receptor like factor 2	-1.387	3.103
1438	CSF2RA	colony stimulating factor 2 receptor subunit alpha	-1.28	6.474
101928055	LOC101928055	replaced by ID 101928032	0.611	1.354
286530	P2RY8	P2Y receptor family member 8	-1.012	2.916
